time	V(n001)	V(n002)
1.650014285714286e-002	7.142857e-001	4.821512e-002
1.650028571428571e-002	1.428571e+000	4.830687e-002
1.650042857142857e-002	2.142857e+000	4.845036e-002
1.650057142857143e-002	2.857143e+000	4.864558e-002
1.650071428571429e-002	3.571429e+000	4.889254e-002
1.650085714285714e-002	4.285714e+000	4.919123e-002
1.650100000000000e-002	5.000000e+000	4.954166e-002
1.653096951081122e-002	5.000000e+000	1.310499e-001
1.656093902162245e-002	5.000000e+000	2.109798e-001
1.659090853243367e-002	5.000000e+000	2.893315e-001
1.662087804324489e-002	5.000000e+000	3.661049e-001
1.665084755405611e-002	5.000000e+000	4.413000e-001
1.668081706486734e-002	5.000000e+000	5.149169e-001
1.671078657567856e-002	5.000000e+000	5.869554e-001
1.692059876319641e-002	5.000000e+000	1.054173e+000
1.734022313823213e-002	5.000000e+000	1.833077e+000
1.801962551721795e-002	5.000000e+000	2.798399e+000
1.876624463200319e-002	5.000000e+000	3.535247e+000
1.970200548691882e-002	5.000000e+000	4.121363e+000
2.070200548691882e-002	5.000000e+000	4.500031e+000
2.170200548691882e-002	5.000000e+000	4.717409e+000
2.270200548691882e-002	5.000000e+000	4.840275e+000
2.370200548691882e-002	5.000000e+000	4.916256e+000
2.375100000000000e-002	5.000000e+000	4.918894e+000
2.404496707848707e-002	5.000000e+000	4.930830e+000
2.414582892441749e-002	5.000000e+000	4.934677e+000
2.424669077034791e-002	5.000000e+000	4.938321e+000
2.434755261627833e-002	5.000000e+000	4.941764e+000
2.444841446220875e-002	5.000000e+000	4.945004e+000
2.454927630813917e-002	5.000000e+000	4.948041e+000
2.465013815406959e-002	5.000000e+000	4.950877e+000
2.475100000000000e-002	5.000000e+000	4.953510e+000
2.475200000000000e-002	0.000000e+000	4.952137e+000
2.484583472327437e-002	0.000000e+000	4.703821e+000
2.493966944654873e-002	0.000000e+000	4.468618e+000
2.503350416982309e-002	0.000000e+000	4.246528e+000
2.512733889309745e-002	0.000000e+000	4.037549e+000
2.522117361637181e-002	0.000000e+000	3.841684e+000
